GISJOIN,YEAR,STATE,DISTRICT,CHAMBER,population,med_age,pct_white,med_income
G27034B,2010-2014,Minnesota,34B,"State House District 34B (2014), Minnesota",42079,38.6,0.85,84961
G27035A,2010-2014,Minnesota,35A,"State House District 35A (2014), Minnesota",40149,37.7,0.88,66395
G27035B,2010-2014,Minnesota,35B,"State House District 35B (2014), Minnesota",40168,38.1,0.91,88966
G27036A,2010-2014,Minnesota,36A,"State House District 36A (2014), Minnesota",40383,37.8,0.86,77944
G27036B,2010-2014,Minnesota,36B,"State House District 36B (2014), Minnesota",39644,36.1,0.68,76633
G27037A,2010-2014,Minnesota,37A,"State House District 37A (2014), Minnesota",39613,38.7,0.82,61630
G27037B,2010-2014,Minnesota,37B,"State House District 37B (2014), Minnesota",42007,35.1,0.81,80987
G27038A,2010-2014,Minnesota,38A,"State House District 38A (2014), Minnesota",40149,38.3,0.90,85974
G27038B,2010-2014,Minnesota,38B,"State House District 38B (2014), Minnesota",40795,41.7,0.91,79048
G27039A,2010-2014,Minnesota,39A,"State House District 39A (2014), Minnesota",40486,41.2,0.93,81175
G27039B,2010-2014,Minnesota,39B,"State House District 39B (2014), Minnesota",39727,44,0.91,77094
G27040A,2010-2014,Minnesota,40A,"State House District 40A (2014), Minnesota",41376,29.6,0.38,45555
G27040B,2010-2014,Minnesota,40B,"State House District 40B (2014), Minnesota",39818,32.6,0.45,49039
G27041A,2010-2014,Minnesota,41A,"State House District 41A (2014), Minnesota",39652,38.8,0.73,57328
G27041B,2010-2014,Minnesota,41B,"State House District 41B (2014), Minnesota",40621,36.5,0.69,50459
G27042A,2010-2014,Minnesota,42A,"State House District 42A (2014), Minnesota",40870,40.8,0.85,77097
G27042B,2010-2014,Minnesota,42B,"State House District 42B (2014), Minnesota",40952,43.2,0.77,61740
G27043A,2010-2014,Minnesota,43A,"State House District 43A (2014), Minnesota",41266,40.5,0.77,64233
G27043B,2010-2014,Minnesota,43B,"State House District 43B (2014), Minnesota",40157,38.6,0.76,60749
G27044A,2010-2014,Minnesota,44A,"State House District 44A (2014), Minnesota",41305,39.7,0.81,98328
G27044B,2010-2014,Minnesota,44B,"State House District 44B (2014), Minnesota",39822,43.8,0.86,75625
G27045A,2010-2014,Minnesota,45A,"State House District 45A (2014), Minnesota",40315,39.3,0.70,55180
G27045B,2010-2014,Minnesota,45B,"State House District 45B (2014), Minnesota",40202,40,0.79,63625
G27046A,2010-2014,Minnesota,46A,"State House District 46A (2014), Minnesota",39981,37.8,0.79,67394
G27046B,2010-2014,Minnesota,46B,"State House District 46B (2014), Minnesota",39944,33.7,0.71,59813
G27047A,2010-2014,Minnesota,47A,"State House District 47A (2014), Minnesota",40808,36.9,0.93,80295
G27047B,2010-2014,Minnesota,47B,"State House District 47B (2014), Minnesota",40811,36.5,0.88,86469
G27048A,2010-2014,Minnesota,48A,"State House District 48A (2014), Minnesota",40193,42.6,0.88,92474
G27048B,2010-2014,Minnesota,48B,"State House District 48B (2014), Minnesota",41038,37.4,0.74,97652
G27049A,2010-2014,Minnesota,49A,"State House District 49A (2014), Minnesota",39219,44.3,0.88,99725
G27049B,2010-2014,Minnesota,49B,"State House District 49B (2014), Minnesota",42268,45.4,0.80,73031
G27050A,2010-2014,Minnesota,50A,"State House District 50A (2014), Minnesota",41233,36.7,0.61,52135
G27050B,2010-2014,Minnesota,50B,"State House District 50B (2014), Minnesota",40287,42.8,0.75,58618
G27051A,2010-2014,Minnesota,51A,"State House District 51A (2014), Minnesota",41100,34.9,0.70,65754
G27051B,2010-2014,Minnesota,51B,"State House District 51B (2014), Minnesota",39320,39.2,0.83,100822
G27052A,2010-2014,Minnesota,52A,"State House District 52A (2014), Minnesota",40220,41.4,0.77,57952
G27052B,2010-2014,Minnesota,52B,"State House District 52B (2014), Minnesota",40161,40.3,0.80,67539
G27053A,2010-2014,Minnesota,53A,"State House District 53A (2014), Minnesota",40235,37.7,0.75,71562
G27053B,2010-2014,Minnesota,53B,"State House District 53B (2014), Minnesota",41937,35.8,0.78,112872
G27054A,2010-2014,Minnesota,54A,"State House District 54A (2014), Minnesota",40110,35,0.81,66152
G27054B,2010-2014,Minnesota,54B,"State House District 54B (2014), Minnesota",39825,38.8,0.91,74229
G27055A,2010-2014,Minnesota,55A,"State House District 55A (2014), Minnesota",40934,32.6,0.71,78814
G27055B,2010-2014,Minnesota,55B,"State House District 55B (2014), Minnesota",41148,38.6,0.90,93838
G27056A,2010-2014,Minnesota,56A,"State House District 56A (2014), Minnesota",40276,35.5,0.78,87933
G27056B,2010-2014,Minnesota,56B,"State House District 56B (2014), Minnesota",40871,38.1,0.76,64825
G27057A,2010-2014,Minnesota,57A,"State House District 57A (2014), Minnesota",40065,37.1,0.81,77332
G27057B,2010-2014,Minnesota,57B,"State House District 57B (2014), Minnesota",40437,37.5,0.83,90721
G27058A,2010-2014,Minnesota,58A,"State House District 58A (2014), Minnesota",40978,34.2,0.89,94335
G27058B,2010-2014,Minnesota,58B,"State House District 58B (2014), Minnesota",40853,36.4,0.92,87098
G27059A,2010-2014,Minnesota,59A,"State House District 59A (2014), Minnesota",40171,29.9,0.35,40847
G27059B,2010-2014,Minnesota,59B,"State House District 59B (2014), Minnesota",42220,30.7,0.41,43964
G27060A,2010-2014,Minnesota,60A,"State House District 60A (2014), Minnesota",40699,32.8,0.69,50951
G27060B,2010-2014,Minnesota,60B,"State House District 60B (2014), Minnesota",40368,22.4,0.62,24292
G27061A,2010-2014,Minnesota,61A,"State House District 61A (2014), Minnesota",41732,34.7,0.83,65065
G27061B,2010-2014,Minnesota,61B,"State House District 61B (2014), Minnesota",40412,36.3,0.84,83346
G27062A,2010-2014,Minnesota,62A,"State House District 62A (2014), Minnesota",40237,28.9,0.37,29509
G27062B,2010-2014,Minnesota,62B,"State House District 62B (2014), Minnesota",41755,32.6,0.53,54069
G27063A,2010-2014,Minnesota,63A,"State House District 63A (2014), Minnesota",40309,36.7,0.75,62125
G27063B,2010-2014,Minnesota,63B,"State House District 63B (2014), Minnesota",39834,38.1,0.72,64891
G27064A,2010-2014,Minnesota,64A,"State House District 64A (2014), Minnesota",39471,31.4,0.81,52962
G27064B,2010-2014,Minnesota,64B,"State House District 64B (2014), Minnesota",40105,37.8,0.79,68931
G27065A,2010-2014,Minnesota,65A,"State House District 65A (2014), Minnesota",40693,28.1,0.38,37979
G27065B,2010-2014,Minnesota,65B,"State House District 65B (2014), Minnesota",39713,33.9,0.56,40354
G27066A,2010-2014,Minnesota,66A,"State House District 66A (2014), Minnesota",39927,36.6,0.78,62027
G27066B,2010-2014,Minnesota,66B,"State House District 66B (2014), Minnesota",40257,28.7,0.46,42241
G27067A,2010-2014,Minnesota,67A,"State House District 67A (2014), Minnesota",41471,28.4,0.40,43927
G27067B,2010-2014,Minnesota,67B,"State House District 67B (2014), Minnesota",41853,30.6,0.40,45990
,,,,,,,,
,,,,,,,,
SOURCE: 2014 American Community Survey: 5-year data,,,,,,,,
